trial_num,trial_type,time,bout_num,action_num,court.copul,sideLR,type,aggression_before,aggression_after,elapsed_before,elapsed_after,notes,
15,M/F,08:50,1,1,copul,L,F,NA,NA,NA,NA,NA,
16,F/MLF,09:46,1,1,copul,L,F,NA,NA,NA,NA,NA,
23,M/F,08:00,1,1,copul,L,F,NA,09:48,NA,01:48,NA,
23,M/F,08:35,2,1,court,L,F,NA,09:48,NA,01:13,NA,
23,M/F,08:35,2,2,court,R,M,sametime,sametime,00:00,00:00,NA,
23,M/F,08:35,2,3,copul,L,F,NA,09:48,NA,01:13,NA,
29,M/F,09:35,1,1,copul,R,F,sametime,09:37,00:00,00:02,NA,
29,M/F,09:37,2,1,copul,R,F,sametime,sametime,00:00,00:00,NA,
29,M/F,09:59,3,1,copul,R,F,sametime,sametime,00:00,00:00,NA,
29,M/F,10:03,4,1,copul,R,F,sametime,sametime,00:00,00:00,NA,
29,M/F,10:08,5,1,copul,R,F,sametime,10:10,00:00,00:02,Not positive about side...just assumed,
31,M/MLF,07:58,1,1,court ,R,MLF,NA,08:14,NA,00:16,handwriting not positive,
31,M/MLF,08:10,2,1,copul,L,M ,NA,08:12,NA,00:02,NA,
31,M/MLF,08:10,2,2,court,L,M ,NA,08:12,NA,00:02,NA,
31,M/MLF,08:12,3,1,copul,L,M ,NA,08:14,NA,00:02,NA,
31,M/MLF,08:12,3,2,court,L,M ,sametime,08:14,00:00,00:02,NA,
31,M/MLF,08:14,4,1,copul,L,M ,sametime,08:18,00:00,00:04,"lots of ""maybe's""",
31,M/MLF,08:14,4,2,court,L,M ,sametime,08:18,00:00,00:04,NA,
31,M/MLF,08:31,5,1,copul,L ,M ,08:18,08:35,00:13,00:04,NA,
36,M/F,10:17,1,1,copul,R,F,10:00,10:27,00:17,00:10,NA,
36,M/F,10:27,2,1,copul,R,F,sametime,10:35,00:00,00:08,NA,
36,M/F,10:35,3,1,copul,R,F,10:27,sametime,00:08,00:00,NA,
36,M/F,10:35,3,2,copul,R,F,sametime,sametime,00:00,00:00,NA,
37,F/MLF,09:32,1,1,copul,R,F,08:09,NA,01:23,NA,"not sure if before agression by same bird, 10:23 says feeding and pecking a lot but doesn't specify side",
37,F/MLF,09:34,2,1,copul,Unspecified,NA,09:25,10:23,00:09,00:49,"""lots of copulation attempts"", before based on L",
38,M/F,09:30,1,1,copul,L ,F,08:36,NA,00:54,NA,NA,
38,M/F,09:30,1,2,court,L ,F,08:36,NA,00:54,NA,NA,
43,M/F,08:59,1,1,copul,R,F,08:49,09:05,00:10,00:06,NA,
47,F/MLF,07:41,1,1,court,L ,F,NA,09:51,NA,02:10,after diff bird,
47,F/MLF,07:43,2,1,court,L ,F,NA,09:51,NA,02:08,after diff bird,
54,F/MLF,09:27,1,1,copul,R,F,09:08,10:30,00:19,01:03,"9:27 possible court, diff bird before and after",
54,F/MLF,09:29,2,1,copul,R (my guess),F,09:08,10:30,00:21,01:01,"side not specified, but based on prior I think it's R,  diff bird before and after",
54,F/MLF,09:29,2,2,court,R (my guess),F,09:08,10:30,00:21,01:01,"side not specified, but based on prior I think it's R,  diff bird before and after",
54,F/MLF,09:32,3,1,copul,L ,MLF,09:21,NA,00:11,NA,NA,
54,F/MLF,09:43,4,1,copul,R ,F,09:08,10:30,00:35,00:47,diff bird before and after,
54,F/MLF,09:43,4,2,court,R ,F,09:08,10:30,00:35,00:47,diff bird before and after,
57,F/MLF,10:07,1,1,copul,L ,F,09:38,NA,00:29,NA,NA,
